,ID,Job,jobs2016,jobs2015,jobs2014,jobs2013,jobs2012,jobs2011,earnings2016,earnings2015,earnings2014,earnings2013,earnings2012,earnings2011,fiveyearchangeJOBS,oneyearchangeJOBS,fiveyearchangeEARNINGS,oneyearchangeEARNINGS,ZfiveyearchangeJOBS,ZoneyearchangeJOBS,ZfiveyearchangeEARNINGS,ZoneyearchangeEARNINGS,ztotaljobs,Zscore
303,HD01_VD445,"Metal workers and plastic workers, all other",326498,336630,327533,317561,311630,294663,35076,33848,33543,32471,32462,33144,0.108038674689,-0.0300983275406,0.0582910934106,0.0362798392815,0.0323495680505,-0.230046949431,-0.196022444405,0.0723633650361,-0.0169380700191,-0.0676589061537
406,HD01_VD447,"Printing workers, except prepress technicians and workers",157832,162921,161075,169498,177911,169784,37214,35323,36032,34992,35568,34975,-0.0703953258258,-0.0312359978149,0.0640171551108,0.0535345242477,-0.275731057199,-0.237126970471,-0.143229936102,0.238719080831,-0.0531653618229,-0.094106848953
150,HD01_VD402,Electrical power-line installers and repairers,106191,109620,99261,99444,101212,100716,70012,72202,70579,70022,66429,64449,0.0543607768378,-0.0312807881773,0.0863163121228,-0.0303315697626,-0.0603296314545,-0.237405712666,0.0623613574114,-0.56984996157,-0.0642571857592,-0.173896226808
279,HD01_VD434,Machinists,297165,306776,325737,330090,325833,311380,46666,45930,45348,45163,43598,43094,-0.0456516153896,-0.0313290479047,0.0828885691744,0.0160243849336,-0.233009054889,-0.237706045629,0.0307586333166,-0.122923341931,-0.0232384219008,-0.117223646207
383,HD01_VD202,Phlebotomists,82446,85128,71105,75727,72755,70203,31121,30497,30387,31062,29933,30263,0.174394256656,-0.0315054976036,0.0283514522684,0.0204610289537,0.14691780685,-0.238804138468,-0.472056625717,-0.0801488089197,-0.0693573069684,-0.142689814645
366,HD01_VD352,"Painters, construction and maintenance",359202,371450,365280,326717,315992,280199,30778,29982,30317,30027,30561,28235,0.281953183273,-0.0329734822991,0.0900655215158,0.0265492628911,0.33262692769,-0.247939792942,0.096927902163,-0.0214509818327,-0.00991367060758,0.0300500768941
275,HD01_VD24,Lodging managers,107568,111620,99057,96419,96682,91959,45875,42869,43446,41824,42433,40816,0.169738687894,-0.0363017380398,0.123946491572,0.0701205999673,0.138879593668,-0.268652402917,0.409299910468,0.398628607084,-0.0639614238344,0.122838856894
317,HD01_VD118,"Miscellaneous life, physical, and social science technicians",127222,132230,134477,100831,104123,100733,42673,42427,42097,44561,43096,42329,0.262962484985,-0.0378734024049,0.00812681613079,0.00579819454593,0.299837962662,-0.278433283217,-0.658521481861,-0.221515998078,-0.059739996913,-0.183674559482
451,HD01_VD269,"Securities, commodities, and financial services sales agents",199539,207926,212151,226082,234359,233455,91885,81122,81020,76524,76058,70421,-0.145278533336,-0.040336465858,0.304795444541,0.132676709154,-0.405022926036,-0.293761574258,2.07667102012,1.00174401264,-0.0442072335738,0.46708465978
453,HD01_VD218,Security guards and gaming surveillance officers,647922,675504,672682,668775,669863,650321,30422,30369,30461,30421,30710,30801,-0.00368894745826,-0.0408317345271,-0.0123047952989,0.00174520069808,-0.160557140254,-0.296843761318,-0.846894585837,-0.260591686449,0.0520996793834,-0.302557498895
207,HD01_VD230,"Food servers, nonrestaurant",76030,79506,82495,69554,61929,81656,24489,23071,23645,23025,22353,21359,-0.0688987949446,-0.0437199708198,0.146542441126,0.0614624420268,-0.273147176503,-0.314818014653,0.617627538925,0.315153651471,-0.0707353814127,0.0548161235654
361,HD01_VD412,"Other installation, maintenance, and repair workers, including wind turbine service technicians",204755,214334,183416,168658,165291,158038,40529,40593,38808,36654,37108,36849,0.295606120047,-0.0446919294186,0.0998670248853,-0.00157662651196,0.356199818986,-0.320866768396,0.187294715358,-0.292618057511,-0.0430869037264,-0.0226154390576
129,HD01_VD211,Detectives and criminal investigators,112869,118191,122800,117375,119075,115400,76604,76843,74362,71169,70910,70042,-0.0219324090121,-0.0450288093002,0.0936866451558,-0.00311023775751,-0.192055941077,-0.322963260415,0.1303135361,-0.307403896661,-0.062822837078,-0.150986479826
491,HD01_VD403,Telecommunications line installers and repairers,125604,131790,114904,118663,129254,131992,50164,47745,50352,48906,48560,50234,-0.0483968725377,-0.0469383109492,-0.00139347852052,0.0506649910985,-0.237748961725,-0.334846590899,-0.74629563812,0.211053363262,-0.0600875225444,-0.233585070005
262,HD01_VD448,Laundry and dry-cleaning workers,116109,121900,123108,111926,122353,127809,22823,22331,21818,21137,21506,21556,-0.0915428490951,-0.0475061525841,0.0587771386157,0.022032152613,-0.312243953691,-0.338380418594,-0.191541258754,-0.0650013054181,-0.0621269266666,-0.193858772625
121,HD01_VD321,Data entry keyers,218791,229754,236645,235336,253191,253756,32441,32124,31421,31745,31446,31145,-0.137789845363,-0.0477162530359,0.0416118157008,0.00986801145561,-0.392093105114,-0.339687928909,-0.349800198308,-0.182278115353,-0.0400721510924,-0.260786299755
188,HD01_VD235,First-line supervisors of housekeeping and janitorial workers,173482,182574,175328,182546,184914,197332,36399,34676,36071,35629,36030,34569,-0.120862303124,-0.0497989856168,0.0529376030548,0.0496885453916,-0.36286634462,-0.352649321,-0.245379960766,0.201639263565,-0.0498039427062,-0.161812061105
495,HD01_VD289,Tellers,211343,222682,228539,233474,243968,246775,26405,26514,25876,25260,25165,24486,-0.143580184378,-0.0509201462175,0.0783713142204,-0.00411103567926,-0.402090590229,-0.359626598003,-0.0108890526754,-0.317052780716,-0.0416718858899,-0.226266181503
373,HD01_VD265,Parts salespersons,92199,97449,84821,82536,89426,87372,35832,35291,35264,33375,32671,32896,0.0552465320698,-0.0538743342672,0.0892509727626,0.0153296874557,-0.0588003039447,-0.378011286451,0.0894180159502,-0.129621053099,-0.0672624877579,-0.10885542306
172,HD01_VD17,"Farmers, ranchers, and other agricultural managers",451680,478065,476355,499775,499022,483188,41404,41566,41416,40638,39443,36452,-0.0652085730606,-0.055191239685,0.13584988478,-0.00389741615744,-0.266775712196,-0.386206734884,0.519045494372,-0.314993234075,0.0099494167451,-0.0877961540077
310,HD01_VD335,Miscellaneous agricultural workers,470635,498973,479993,451767,426577,441587,25442,24083,23645,23324,22450,22228,0.0657809219927,-0.0567926521074,0.144592405974,0.0564298467799,-0.0406118341199,-0.396172745161,0.599648821214,0.266633438772,0.0140207074388,0.0887036776288
411,HD01_VD490,"Production workers, all other",953539,1012384,942025,881828,860757,815976,35030,33905,32296,32491,32258,31972,0.168587066286,-0.0581251777981,0.0956461904166,0.033180946763,0.136891226519,-0.404465402656,0.148379934066,0.0424863499475,0.117742288085,0.00820687919204
110,HD01_VD293,"Court, municipal, and license clerks",62021,66156,59598,70610,65360,69945,38317,37256,36682,36977,37339,36887,-0.113289012796,-0.0625037789467,0.0387670453005,0.0284786343139,-0.349790450941,-0.431714588084,-0.376028096789,-0.00284954316751,-0.0737443347932,-0.246825402755
430,HD01_VD523,Refuse and recyclable material collectors,65170,69740,66445,73441,71974,63732,32367,30661,30571,29333,28794,30424,0.0225632335405,-0.0655291081159,0.0638640546937,0.0556407162193,-0.115230642429,-0.450542006411,-0.14464147434,0.259025280204,-0.0730679700138,-0.104891362598
217,HD01_VD245,Gaming services workers,61881,66483,66084,64709,64227,65417,39726,40077,38759,36477,35938,35779,-0.0540532277543,-0.0692207030369,0.110316107214,-0.00875814057938,-0.247515113056,-0.473515771573,0.283632005184,-0.361856407299,-0.0737744049962,-0.174605938348
42,HD01_VD283,Bill and account collectors,123438,132795,141345,142343,155232,168620,35448,35374,33001,33453,32586,32471,-0.267951607164,-0.0704619902858,0.0916818083829,0.0020919319274,-0.616827835286,-0.481240628272,0.111829564477,-0.257248784393,-0.0605527515416,-0.260808087003
521,HD01_VD440,"Welding, soldering, and brazing workers",475547,514255,507586,488957,474719,429885,40394,40548,39371,38137,37368,37188,0.10621910511,-0.0752700508503,0.0862106055717,-0.00379796784058,0.0292079351092,-0.511162452486,0.0613867758809,-0.314034433844,0.0150757419884,-0.14390528667
174,HD01_VD297,File clerks,137412,148742,164174,189148,204351,200724,34159,32320,31981,32442,32110,32247,-0.315418186166,-0.0761721638811,0.0592923372717,0.0568997524752,-0.698782694198,-0.516776538908,-0.186791287352,0.271163889399,-0.0575513157118,-0.237747589354
350,HD01_VD330,"Office and administrative support workers, all other",449803,487520,471807,428493,429326,399672,41080,39843,39222,38662,38052,38004,0.125430352889,-0.0773650311782,0.0809388485423,0.0310468589213,0.0623776965379,-0.524200065524,0.012782815373,0.0219112011586,0.00954626123827,-0.0835164182433
236,HD01_VD365,Highway maintenance workers,84345,91845,83359,80392,81796,89248,39354,40128,38267,37416,36358,36989,-0.0549368053066,-0.0816593173281,0.063937927492,-0.019288277512,-0.249040680627,-0.550924536562,-0.143960390111,-0.463379470182,-0.068949426144,-0.295250900725
95,HD01_VD378,"Computer, automated teller, and office machine repairers",145593,158624,155340,176644,201758,200084,43661,42617,42483,42430,43165,42943,-0.272340616941,-0.0821502420819,0.0167198379247,0.0244972663491,-0.624405812983,-0.553979690295,-0.579296493004,-0.0412346727095,-0.0557941419231,-0.370942162183
444,HD01_VD278,"Sales and related workers, all other",178931,195098,187100,186390,159891,165866,54472,52342,51804,51489,51909,50217,0.07876840341,-0.0828660468072,0.084732261983,0.0406938978258,-0.0181879049141,-0.558434331179,0.0477569076983,0.114920147159,-0.0486335674496,-0.0925157497371
89,HD01_VD69,Computer network architects,92872,103813,97510,91709,92702,87369,98374,95506,92623,96372,90886,91112,0.062985727203,-0.105391424966,0.0797041004478,0.0300295269407,-0.0454379623018,-0.698615678019,0.0013988218988,0.0121029090827,-0.0671179359965,-0.159533969067
505,HD01_VD41,Training and development specialists,111303,124732,104051,105954,90873,93107,58739,56712,54215,52417,56855,53615,0.195431063185,-0.107662829106,0.0955702695141,0.0357419946396,0.183239542003,-0.712751222792,0.147679966953,0.0671779020406,-0.0631591937768,-0.0755626011146
132,HD01_VD231,Dining room and cafeteria attendants and bartender helpers,91150,103325,106948,86785,92473,94822,21276,20922,20330,19562,19792,19351,-0.0387251903567,-0.117832083233,0.0994780631492,0.0169199885288,-0.221050026068,-0.776037163202,0.183708609102,-0.114288656485,-0.067487799493,-0.199031007229
116,HD01_VD471,"Crushing, grinding, polishing, mixing, and blending workers",66068,76006,77424,70478,75023,70694,37087,36668,36940,36849,34294,35487,-0.0654369536311,-0.130752835302,0.0450869332432,0.0114268572052,-0.267170029584,-0.856446398269,-0.317760695188,-0.167248985526,-0.0728750911405,-0.336300239942
